"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","85","testcases","test_all_case","TestALLAPI","","","查询新增门店",""
"passed","Mon Jan 09 21:01:31 CST 2023","Mon Jan 09 21:01:32 CST 2023","307","testcases","test_all_case","TestALLAPI","","","验证登录成功测试用例",""
"passed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:33 CST 2023","497","testcases","test_all_case","TestALLAPI","","","新增门店",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","106","testcases","test_all_case","TestALLAPI","","","新增重复门店名称",""
"failed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:32 CST 2023","105","testcases","test_all_case","TestALLAPI","","","验证未注册的账号密码登录测试用例",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","77","testcases","test_all_case","TestALLAPI","","","查看门店详情接口",""
"failed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:32 CST 2023","54","testcases","test_all_case","TestALLAPI","","","验证输入用户名不能为空测试用例",""
"failed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:32 CST 2023","140","testcases","test_all_case","TestALLAPI","","","验证输入错误密码正确账号测试用例",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","132","testcases","test_all_case","TestALLAPI","","","下架门店",""
"failed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:32 CST 2023","94","testcases","test_all_case","TestALLAPI","","","验证输入错误账号正确密码测试用例",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:34 CST 2023","84","testcases","test_all_case","TestALLAPI","","","删除门店接口",""
"failed","Mon Jan 09 21:01:32 CST 2023","Mon Jan 09 21:01:32 CST 2023","55","testcases","test_all_case","TestALLAPI","","","验证输入密码不能为空测试用例",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","134","testcases","test_all_case","TestALLAPI","","","上架门店",""
"passed","Mon Jan 09 21:01:33 CST 2023","Mon Jan 09 21:01:33 CST 2023","105","testcases","test_all_case","TestALLAPI","","","新增重复门店账号",""
